,username_mittente,id_mittente,username_ricevente,id_ricevente,quarter,weights
0,phillipmbailey,49842959,LMPD,18904764,1,1.0
1,joseph2482f,3158156152,thehill,1917731,1,1.0
2,phillipmbailey,49842959,DemLMC,1080160111,1,0.6206896551724138
3,phillipmbailey,49842959,AttorneyCrump,151967576,1,0.5862068965517241
4,joseph2482f,3158156152,axios,800707492346925056,1,0.4827586206896552
5,phillipmbailey,49842959,TheJusticeDept,73181712,1,0.4482758620689655
6,phillipmbailey,49842959,RandPaul,216881337,1,0.4482758620689655
7,phillipmbailey,49842959,courierjournal,7972552,1,0.4482758620689655
8,phillipmbailey,49842959,Samaguiar1982,1864873699,1,0.3448275862068966
9,phillipmbailey,49842959,LMCRep,1209432253,1,0.3103448275862069
10,joseph2482f,3158156152,dcexaminer,18956073,1,0.3103448275862069
11,missionaryblmm,753187516887527424,SpeakerPelosi,15764644,1,0.27586206896551724
12,joseph2482f,3158156152,Mediaite,29465136,1,0.2413793103448276
13,phillipmbailey,49842959,FBI,17629860,1,0.20689655172413793
14,joseph2482f,3158156152,HuffPostPol,15458694,1,0.20689655172413793
15,fun_horse,1489567152,realDonaldTrump,25073877,1,0.20689655172413793
16,phillipmbailey,49842959,louisvillemayor,244123121,1,0.1724137931034483
17,fun_horse,1489567152,GOP,11134252,1,0.1724137931034483
18,soloyochapin,93071854,realDonaldTrump,25073877,1,0.1724137931034483
19,phillipmbailey,49842959,Diva_Attorney,65803357,1,0.13793103448275862
20,ajohn879,401770763,PeteButtigieg,226222147,1,0.13793103448275862
21,joseph2482f,3158156152,Reuters,1652541,1,0.13793103448275862
22,joseph2482f,3158156152,RawStory,16041234,1,0.13793103448275862
23,fun_horse,1489567152,POTUS,1349149096909668363,1,0.13793103448275862
24,nsc_5412,900508649935785984,realDonaldTrump,25073877,1,0.13793103448275862
25,_chaneljunkie,380701904,BrianKempGA,47437206,1,0.10344827586206896
26,joseph2482f,3158156152,GuardianUS,16042794,1,0.10344827586206896
27,namelessism,175660302,JoeBiden,939091,1,0.10344827586206896
28,kevnsweetwater,831295728634859520,nowthisnews,701725963,1,0.10344827586206896
29,joseph2482f,3158156152,TheHillOpinion,2516164608,1,0.10344827586206896
30,joseph2482f,3158156152,CNNPolitics,13850422,1,0.10344827586206896
31,michell55125993,1157334459374608384,CarlAll28905667,1220096420553941000,1,0.10344827586206896
32,fun_horse,1489567152,AIPAC,15987296,1,0.10344827586206896
33,phillipmbailey,49842959,BSextonSmith,4830503273,1,0.10344827586206896
34,_chaneljunkie,380701904,KeishaBottoms,305818748,1,0.10344827586206896
35,_chaneljunkie,380701904,CityofAtlanta,21336038,1,0.06896551724137931
36,blackgirlbobo1,829315733050028034,UnionCoSheriff,937061330,1,0.06896551724137931
37,healthybuttrfly,99532356,cthagod,17878322,1,0.06896551724137931
38,healthybuttrfly,99532356,amjoyshow,731132367058968576,1,0.06896551724137931
39,wgarnews,2908699057,BakchosGlass,1205398435899142144,1,0.06896551724137931
40,ptnickb,60696595,AttorneyGGriggs,733339248460320768,1,0.06896551724137931
41,wgarnews,2908699057,RobRobbEdwards,956494460166184966,1,0.06896551724137931
42,wgarnews,2908699057,WhteRbbnAdvocat,822060714080636931,1,0.06896551724137931
43,joseph2482f,3158156152,DailyCaller,39308549,1,0.06896551724137931
44,fun_horse,1489567152,DNC,722793491059769344,1,0.06896551724137931
45,joseph2482f,3158156152,WSJPolitics,16311797,1,0.06896551724137931
