,username_mittente,id_mittente,username_ricevente,id_ricevente,quarter,weights
0,whok95,846074965132640256,ladya,15651878,4,1.0
1,safikhanmagical,1177579542573137921,JoeBiden,939091,4,0.9682539682539683
2,patricklillis2,1052656725160054784,MayorofLondon,14700117,4,0.7142857142857143
3,cnkamngo,1000744188592513030,LindaT_G,737402868076969984,4,0.6825396825396826
4,meklittn,1326545247971598336,UN,14159148,4,0.6190476190476191
5,meklittn,1326545247971598336,kahsay9,605479093,4,0.5873015873015873
6,cnkamngo,1000744188592513030,pabiedu1,913584346925117442,4,0.5873015873015873
7,cnkamngo,1000744188592513030,ABlinken,635716830,4,0.5873015873015873
8,safikhanmagical,1177579542573137921,KamalaHarris,30354991,4,0.5555555555555556
9,menchumfalls,1330893033307561986,stavykilo,828070333840289792,4,0.5555555555555556
10,menchumfalls,1330893033307561986,franjoe51,827813052804378625,4,0.5238095238095238
11,jean46055280,1302667218480758784,squawk7kdotnet,1079913051678216193,4,0.5238095238095238
12,menchumfalls,1330893033307561986,NzajeP,1017894988431155203,4,0.5238095238095238
13,meklittn,1326545247971598336,SecBlinken,1350150750966603777,4,0.49206349206349204
14,meklittn,1326545247971598336,POTUS,1349149096909668363,4,0.49206349206349204
15,menchumfalls,1330893033307561986,silas_atefor,885279805,4,0.49206349206349204
16,defund_genocide,1337213160823074817,Blklivesmatter,1604931252,4,0.49206349206349204
17,menchumfalls,1330893033307561986,realAmadioha,1207058116803727361,4,0.49206349206349204
18,cnkamngo,1000744188592513030,JoeBiden,939091,4,0.4603174603174603
19,menchumfalls,1330893033307561986,NALOWA1,882513562081669121,4,0.4603174603174603
20,jenniferclmn,2218000892,jaketapper,14529929,4,0.4603174603174603
21,safikhanmagical,1177579542573137921,POTUS,1349149096909668363,4,0.4603174603174603
22,menchumfalls,1330893033307561986,collycute2,829376532657401857,4,0.4603174603174603
23,cnkamngo,1000744188592513030,KamalaHarris,30354991,4,0.42857142857142855
24,realamadioha,1207058116803727361,collycute2,829376532657401857,4,0.42857142857142855
25,pengologist,16548831,SeattlePD,25101704,4,0.42857142857142855
26,menchumfalls,1330893033307561986,MarkBareta,65629951,4,0.42857142857142855
27,menchumfalls,1330893033307561986,BaliNyonga,928418551546904577,4,0.3968253968253968
28,ayrinweloveyou,1296522988838363137,PopCrave,4429003533,4,0.3968253968253968
29,menchumfalls,1330893033307561986,asong_gladys,1146125695871082497,4,0.3968253968253968
30,menchumfalls,1330893033307561986,Vy_mbanwie,826618298708135939,4,0.3968253968253968
31,realamadioha,1207058116803727361,NzajeP,1017894988431155203,4,0.3968253968253968
32,realamadioha,1207058116803727361,_An0nymou5,1158215441656893440,4,0.3968253968253968
33,jenniferclmn,2218000892,PoppyHarlowCNN,69480815,4,0.36507936507936506
34,ayrinweloveyou,1296522988838363137,ABC,28785486,4,0.36507936507936506
35,realamadioha,1207058116803727361,franjoe51,827813052804378625,4,0.36507936507936506
36,realamadioha,1207058116803727361,Anonymous_Latin,1254490067361501186,4,0.36507936507936506
37,ayrinweloveyou,1296522988838363137,CNN,759251,4,0.36507936507936506
38,ayrinweloveyou,1296522988838363137,TMZ,16331010,4,0.36507936507936506
39,realamadioha,1207058116803727361,silas_atefor,885279805,4,0.36507936507936506
40,realamadioha,1207058116803727361,asong_gladys,1146125695871082497,4,0.36507936507936506
41,menchumfalls,1330893033307561986,Secominfo,937298996783124480,4,0.36507936507936506
42,peacemirembe6,1344455723330142208,HEBobiwine,1573440108,4,0.36507936507936506
43,menchumfalls,1330893033307561986,PR_Paul_BIYA,301026859,4,0.36507936507936506
44,realamadioha,1207058116803727361,YourMarkLubbers,877227753325645824,4,0.36507936507936506
45,ayrinweloveyou,1296522988838363137,thehill,1917731,4,0.36507936507936506
46,jenniferclmn,2218000892,WHCOS,1351284403801108481,4,0.36507936507936506
47,realamadioha,1207058116803727361,NALOWA1,882513562081669121,4,0.36507936507936506
48,realamadioha,1207058116803727361,MarkBareta,65629951,4,0.3333333333333333
49,menchumfalls,1330893033307561986,CameroonPm237,1029010869613674496,4,0.3333333333333333
50,ayrinweloveyou,1296522988838363137,realDonaldTrump,25073877,4,0.3333333333333333
51,willireallyam1,1250038284832649216,piersmorgan,216299334,4,0.3333333333333333
52,realamadioha,1207058116803727361,BaliNyonga,928418551546904577,4,0.3333333333333333
53,realamadioha,1207058116803727361,stavykilo,828070333840289792,4,0.3333333333333333
54,realamadioha,1207058116803727361,Vy_mbanwie,826618298708135939,4,0.3333333333333333
