,username_mittente,id_mittente,username_ricevente,id_ricevente,quarter,weights
0,soloyochapin,93071854,realDonaldTrump,25073877,2,1.0
1,info4u2know,47725408,thehill,1917731,2,0.5166666666666667
2,navy30vet,1226646093087285249,macfathom,19469743,2,0.43333333333333335
3,rhombusleech,25543529,kyoag,1205238738097455104,2,0.4166666666666667
4,navy30vet,1226646093087285249,nahmias,22447078,2,0.4166666666666667
5,miggie7,19151530,realDonaldTrump,25073877,2,0.35
6,navy30vet,1226646093087285249,KlasfeldReports,60506242,2,0.2833333333333333
7,navy30vet,1226646093087285249,jangelooff,263332399,2,0.26666666666666666
8,navy30vet,1226646093087285249,BilldeBlasio,476193064,2,0.26666666666666666
9,navy30vet,1226646093087285249,chayesmatthew,1411902361,2,0.26666666666666666
10,whowall,1146141336308998144,realDonaldTrump,25073877,2,0.26666666666666666
11,navy30vet,1226646093087285249,emma_a_whitford,829760984,2,0.2
12,navy30vet,1226646093087285249,protest_nyc,1266803934166949889,2,0.2
13,miggie7,19151530,DonaldJTrumpJr,39344374,2,0.2
14,navy30vet,1226646093087285249,GwynneFitz,850904352,2,0.18333333333333332
15,navy30vet,1226646093087285249,awinston,16213116,2,0.18333333333333332
16,soloyochapin,93071854,itsJeffTiedrich,1009577803304656896,2,0.15
17,info4u2know,47725408,realDonaldTrump,25073877,2,0.15
18,capnamerica18,41151550,Kaepernick7,45055696,2,0.15
19,navy30vet,1226646093087285249,yoavgonen,30478476,2,0.15
20,iammix24,1232161857034760192,realDonaldTrump,25073877,2,0.13333333333333333
21,navy30vet,1226646093087285249,TinaMoorereport,20598720,2,0.13333333333333333
22,ntrobama,822900331231215618,WhiteHouse,1323730225067339784,2,0.13333333333333333
23,terwiterwoo11,773614521541951488,racisminUKedu,1266763904941723649,2,0.13333333333333333
24,soloyochapin,93071854,mmpadellan,1640929196,2,0.13333333333333333
25,yup15566124,1137903641539440641,realDonaldTrump,25073877,2,0.13333333333333333
